House District,County,Agency,Last Name,First Name,Party,Phone,Room,LA Name
31,Oklahoma,CAAOKC,Mize, Garry ,R,(405) 557-7350,300,Reed Powell*
39,Oklahoma,CAAOKC,Martinez, Ryan ,R,(405) 557-7342,246B,Stefne Miller
41,Canadian,CAAOKC,Crosswhite Hader, Denise ,R,(405) 557-7321,337,Marlene Burbank-Jones*
41,Oklahoma,CAAOKC,Crosswhite Hader, Denise ,R,(405) 557-7321,337,Marlene Burbank-Jones*
43,Canadian,CAAOKC,Steagall, Jay ,R,(405) 557-7352,301A,Melanie Morriss*
47,Canadian,CAAOKC,Hill, Brian ,R,(405) 557-7333,400B,Dee Lemon*
54,Oklahoma,CAAOKC,West, Kevin ,R,(405) 557-7343,333,Marlene Burbank-Jones
57,Canadian,CAAOKC,Wright, Harold ,R,(405) 557-7325,411,Dee Lemon
59,Canadian,CAAOKC,Sanders, Mike ,R,(405) 557-7407,205,Natasha Holliday
60,Canadian,CAAOKC,Baker, Rhonda ,R,(405) 557-7311,202A,Julie Jackson
81,Oklahoma,CAAOKC,Osburn, Mike ,R,(405) 557-7360,246A,Stefne Miller
82,Oklahoma,CAAOKC,Miller, Nicole ,R,(405) 557-7357,300A,Charlotte Maughan*
83,Oklahoma,CAAOKC,Branham, Chelsey ,D,(405) 557-7409,539B,Kaylee Rains-Saucedo*
84,Oklahoma,CAAOKC,West, Tammy ,R,(405) 557-7348,202B,Julie Jackson
85,Oklahoma,CAAOKC,Munson, Cyndi ,D,(405) 557-7392,546,Sarah Rivin
87,Oklahoma,CAAOKC,Walke, Collin ,D,(405) 557-7335,504,Louise Aldridge*
88,Oklahoma,CAAOKC,Dunnington, Jason ,D,(405) 557-7396,544,Meagan Hansen
89,Oklahoma,CAAOKC,Stone, Shane ,D,(405) 557-7397,545,Sarah Rivin
90,Oklahoma,CAAOKC,Echols, Jon ,R,(405) 557-7354,442,Kaye Beach
92,Oklahoma,CAAOKC,Bennett, Forrest ,D,(405) 557-7404,542,Connie Riley
93,Oklahoma,CAAOKC,Dollens, Mickey ,D,(405) 557-7371,540A,Abigail Weigand
94,Oklahoma,CAAOKC,Fugate, Andy ,D,(405) 557-7370,510B,Debra Pearson-Matthews*
95,Oklahoma,CAAOKC,Albright, Kelly ,D,(405) 557-7314,539,Kaylee Rains-Saucedo*
96,Oklahoma,CAAOKC,Moore, Lewis ,R,(405) 557-7400,328,Reed Powell
97,Oklahoma,CAAOKC,Lowe, Jason ,D,(405) 557-7367,507,Amari Kimbro*
99,Oklahoma,CAAOKC,Pittman, Ajay ,D,(405) 557-7393,539,Amari Kimbro*
100,Oklahoma,CAAOKC,Stark, Marilyn ,R,(405) 557-7403,338,Carla Ray*
101,Oklahoma,CAAOKC,Manger, Robert ,R,(405) 557-7395,302B,Dee Lemon*
