Senate District,County,agency,Party,First Name,Last Name,Room,Extension,EA
17,Oklahoma,CAAOKC,R,Ron,Sharp,412,539,Cindy Sullivan
22,Canadian,CAAOKC,R,Stephanie,Bice,232,592,Anissa Scott
23,Canadian,CAAOKC,R,Lonnie,Paxton,238,537,Roxanne Blystone
30,Oklahoma,CAAOKC,D,Julia,Kirt,514,636,Donna Ambler
41,Oklahoma,CAAOKC,R,Adam,Pugh,528,622,A.J. Mallory
42,Oklahoma,CAAOKC,R,Brenda,Stanley,529,584,Denise Manek
45,Canadian,CAAOKC,R,Paul,Rosino,235,618,Debbie Blair
45,Oklahoma,CAAOKC,R,Paul,Rosino,235,618,Debbie Blair
48,Oklahoma,CAAOKC,D,George,Young,518,531,Tanisha Woods
15,Oklahoma,CAAOKC,R,Rob,Standridge,418,535,Susan Wallace
17,Oklahoma,CAAOKC,R,Ron,Sharp,412,539,Cindy Sullivan
22,Canadian,CAAOKC,R,Stephanie,Bice,232,592,Anissa Scott
22,Oklahoma,CAAOKC,R,Stephanie,Bice,232,592,Anissa Scott
23,Canadian,CAAOKC,R,Lonnie,Paxton,238,537,Roxanne Blystone
30,Oklahoma,CAAOKC,D,Julia,Kirt,514,636,Donna Ambler
40,Oklahoma,CAAOKC,D,Carri,Hicks,515,543,Kandi Hoehner
42,Oklahoma,CAAOKC,R,Brenda,Stanley,529,584,Denise Manek
48,Oklahoma,CAAOKC,D,George,Young,518,531,Tanisha Woods
41,Oklahoma,CAAOKC,R,Adam,Pugh,528,622,A.J. Mallory
44,Canadian,CAAOKC,D,Michael,Brooks,513,557,Annie Menz
47,Oklahoma,CAAOKC,R,Greg,Treat,422,632,Christina Holcomb
45,Canadian,CAAOKC,R,Paul,Rosino,235,618,Debbie Blair
44,Oklahoma,CAAOKC,D,Michael,Brooks,513,557,Annie Menz
45,Oklahoma,CAAOKC,R,Paul,Rosino,235,618,Debbie Blair
46,Oklahoma,CAAOKC,D,Kay,Floyd,517,610,Amy Hicks
