House District,County,Agency,Last Name,First Name,Party,Phone,Room,LA Name
50,Jefferson,CADC,McEntire, Marcus ,R,(405) 557-7327,204B,Jan Tupps
52,Kiowa,CADC,Ortega, Charles ,R,(405) 557-7369,305A,Melanie Morriss
55,Beckham,CADC,Russ, Todd ,R,(405) 557-7312,406,Jordan Johnston
55,Kiowa,CADC,Russ, Todd ,R,(405) 557-7312,406,Jordan Johnston
55,Roger Mills,CADC,Russ, Todd ,R,(405) 557-7312,406,Jordan Johnston
55,Washita,CADC,Russ, Todd ,R,(405) 557-7312,406,Jordan Johnston
56,Kiowa,CADC,Perryman, David ,D,(405) 557-7401,540,Abigail Weigand
57,Beckham,CADC,Wright, Harold ,R,(405) 557-7325,411,Dee Lemon
63,Tillman,CADC,Caldwell, Trey ,R,(405) 557-7307,304,Leslie Smith-Haddad*
65,Cotton,CADC,Hasenbeck, Toni ,R,(405) 557-7305,256,Julie Jackson
