House District,County,Agency,Last Name,First Name,Party,Phone,Room,LA Name
11,Tulsa,CAP Tulsa,Fincher, Derrel ,R,(405) 557-7358,329,Sawyer Campbell*
16,Tulsa,CAP Tulsa,Fetgatter, Scott ,R,(405) 557-7373,248A,Debbie Grogis
23,Tulsa,CAP Tulsa,O'Donnell, Terry ,R,(405) 557-7379,433,Kathy Hubbart
29,Tulsa,CAP Tulsa,Hilbert, Kyle ,R,(405) 557-7353,244B,Sonya Barker
30,Tulsa,CAP Tulsa,Lawson, Mark ,R,(405) 557-7414,244A,Sonya Barker
36,Tulsa,CAP Tulsa,Roberts, Sean ,R,(405) 557-7322,250,Lacy Skrapka
66,Tulsa,CAP Tulsa,Nollan, Jadine ,R,(405) 557-7390,407,Sandy Cunningham
67,Tulsa,CAP Tulsa,Boatman, Jeff ,R,(405) 557-7341,303,Sandy Cunningham*
68,Tulsa,CAP Tulsa,Sims, Lonnie ,R,(405) 557-7340,436,Jan Tupps*
69,Tulsa,CAP Tulsa,Dills, Sheila ,R,(405) 557-7331,500,Jan Tupps
70,Tulsa,CAP Tulsa,Bush, Carol ,R,(405) 557-7359,204A,Jan Tupps
71,Tulsa,CAP Tulsa,Brewer, Denise ,D,(405) 557-7361,510B,Debra Pearson-Matthews*
72,Tulsa,CAP Tulsa,Nichols, Monroe ,D,(405) 557-7391,505,Connie Riley*
73,Tulsa,CAP Tulsa,Goodwin, Regina ,D,(405) 557-7406,508,Amari Kimbro
74,Tulsa,CAP Tulsa,Vancuren, Mark ,R,(405) 557-7377,328A,Natasha Holliday*
75,Tulsa,CAP Tulsa,Marti, T.J. ,R,(405) 557-7356,301,Zach Swift*
76,Tulsa,CAP Tulsa,Ford, Ross ,R,(405) 557-7347,437,Sawyer Campbell*
77,Tulsa,CAP Tulsa,Waldron, John ,D,(405) 557-7410,510A,Abigail Weigand*
78,Tulsa,CAP Tulsa,Blancett, Meloyde ,D,(405) 557-7334,543,Meagan Hansen
79,Tulsa,CAP Tulsa,Provenzano, Melissa ,D,(405) 557-7330,510A,Louise Aldridge*
80,Tulsa,CAP Tulsa,May, Stan ,R,(405) 557-7338,331,Zack Swift*
98,Tulsa,CAP Tulsa,Davis, Dean ,R,(405) 557-7362,301,Saprina Croshwait*
