Senate District,County,agency,Party,First Name,Last Name,Room,Extension,EA
33,Tulsa,CAP Tulsa,R,Nathan,Dahm,526,551,Sharon Brown
34,Tulsa,CAP Tulsa,D,JJ,Dossett,515,566,Pam King
37,Tulsa,CAP Tulsa,D,Allison,Ikley-Freeman,524,600,Audra Cross
10,Tulsa,CAP Tulsa,R,Bill,Coleman,432,581,Cindy Stevens
11,Tulsa,CAP Tulsa,D,Kevin,Matthews,516,598,Gracie Monson
12,Tulsa,CAP Tulsa,R,James,Leewright,425,528,Cheryl Boothe
18,Tulsa,CAP Tulsa,R,Kim,David,421,590,Gayla Guinn
24,Tulsa,CAP Tulsa,R,Darrell,Weaver,526,569,Tonya Lewis
25,Tulsa,CAP Tulsa,R,Joe,Newhouse,414,675,Brian Barton
34,Tulsa,CAP Tulsa,D,JJ,Dossett,515,566,Pam King
33,Tulsa,CAP Tulsa,R,Nathan,Dahm,526,551,Sharon Brown
37,Tulsa,CAP Tulsa,D,Allison,Ikley-Freeman,524,600,Audra Cross
36,Tulsa,CAP Tulsa,R,John,Haste,531,602,Laurie Nicoll
35,Tulsa,CAP Tulsa,R,Gary,Stanislawski,431,624,Shannon Sharpton
39,Tulsa,CAP Tulsa,R,Dave,Rader,237,620,Celia Scott
