House District,County,Agency,Last Name,First Name,Party,Phone,Room,LA Name
5,Mayes,CARD,West, Josh ,R,(405) 557-7415,242A,Tanner Davis
6,Mayes,CARD,Cornwell, Rusty ,R,(405) 557-7319,334,Melanie Morriss*
6,Rogers,CARD,Cornwell, Rusty ,R,(405) 557-7319,334,Melanie Morriss*
8,Mayes,CARD,Gann, Tom ,R,(405) 557-7364,434,Carla Ray
8,Rogers,CARD,Gann, Tom ,R,(405) 557-7364,434,Carla Ray
8,Wagoner,CARD,Gann, Tom ,R,(405) 557-7364,434,Carla Ray
9,Rogers,CARD,Lepak, Mark ,R,(405) 557-7380,441,Charlotte Maughan
10,Nowata,CARD,Strom, Judd ,R,(405) 557-7402,435,Natasha Holliday*
10,Washington,CARD,Strom, Judd ,R,(405) 557-7402,435,Natasha Holliday*
11,Rogers,CARD,Fincher, Derrel ,R,(405) 557-7358,329,Sawyer Campbell*
11,Washington,CARD,Fincher, Derrel ,R,(405) 557-7358,329,Sawyer Campbell*
12,Wagoner,CARD,McDugle, Kevin ,R,(405) 557-7388,242B,Tanner Davis
16,Wagoner,CARD,Fetgatter, Scott ,R,(405) 557-7373,248A,Debbie Grogis
23,Rogers,CARD,O'Donnell, Terry ,R,(405) 557-7379,433,Kathy Hubbart
23,Wagoner,CARD,O'Donnell, Terry ,R,(405) 557-7379,433,Kathy Hubbart
74,Rogers,CARD,Vancuren, Mark ,R,(405) 557-7377,328A,Natasha Holliday*
77,Rogers,CARD,Waldron, John ,D,(405) 557-7410,510A,Abigail Weigand*
80,Wagoner,CARD,May, Stan ,R,(405) 557-7338,331,Zack Swift*
98,Wagoner,CARD,Davis, Dean ,R,(405) 557-7362,301,Saprina Croshwait*
