Senate District,County,agency,Party,First Name,Last Name,Room,Extension,EA
1,Mayes,CARD,R,Micheal,Bergstrom,426,561,Holly Randall
2,Mayes,CARD,R,Marty,Quinn,419,555,Donna Garlick
2,Rogers,CARD,R,Marty,Quinn,419,555,Donna Garlick
3,Mayes,CARD,R,Wayne,Shaw,233,574,Bianca Moore
3,Rogers,CARD,R,Wayne,Shaw,233,574,Bianca Moore
18,Wagoner,CARD,R,Kim,David,421,590,Gayla Guinn
29,Nowata,CARD,R,Julie,Daniels,415,634,Kathy Townsend
29,Rogers,CARD,R,Julie,Daniels,415,634,Kathy Townsend
29,Washington,CARD,R,Julie,Daniels,415,634,Kathy Townsend
18,Wagoner,CARD,R,Kim,David,421,590,Gayla Guinn
2,Rogers,CARD,R,Marty,Quinn,419,555,Donna Garlick
36,Wagoner,CARD,R,John,Haste,531,602,Laurie Nicoll
29,Rogers,CARD,R,Julie,Daniels,415,634,Kathy Townsend
34,Rogers,CARD,D,JJ,Dossett,515,566,Pam King
