House District,County,Agency,Last Name,First Name,Party,Phone,Room,LA Name
20,Cleveland,COCAA,Conley, Sherrie ,R,(405) 557-7308,303B,Latoya Alexander*
20,Pottawatomie,COCAA,Conley, Sherrie ,R,(405) 557-7308,303B,Latoya Alexander*
26,Pottawatomie,COCAA,Kerbs, Dell ,R,(405) 557-7345,408,Joyce Butler
27,Cleveland,COCAA,Sterling, Danny ,R,(405) 557-7349,328B,Joyce Butler*
27,Pottawatomie,COCAA,Sterling, Danny ,R,(405) 557-7349,328B,Joyce Butler*
28,Pottawatomie,COCAA,Taylor, Zack ,R,(405) 557-7372,435A,Martha Perry
28,Seminole,COCAA,Taylor, Zack ,R,(405) 557-7372,435A,Martha Perry
31,Logan,COCAA,Mize, Garry ,R,(405) 557-7350,300,Reed Powell*
32,Lincoln,COCAA,Wallace, Kevin ,R,(405) 557-7368,200B,Tammie Wright
32,Logan,COCAA,Wallace, Kevin ,R,(405) 557-7368,200B,Tammie Wright
33,Logan,COCAA,Talley, John ,R,(405) 557-7304,300B,Kathy Hubbart*
33,Payne,COCAA,Talley, John ,R,(405) 557-7304,300B,Kathy Hubbart*
34,Payne,COCAA,Ranson, Trish ,D,(405) 557-7411,506,Sarah Rivin*
35,Payne,COCAA,Burns, Ty ,R,(405) 557-7344,330,Lacy Skrapka*
38,Logan,COCAA,Pfeiffer, John ,R,(405) 557-7332,439,Ashley Stuart
44,Cleveland,COCAA,Virgin, Emily ,D,(405) 557-7323,548,Debra Pearson-Matthews
45,Cleveland,COCAA,Bell, Merleyn ,D,(405) 557-7386,539B,Maegan Hansen*
46,Cleveland,COCAA,Rosecrants, Jacob ,D,(405) 557-7329,509,Amari Kimbro
53,Cleveland,COCAA,McBride, Mark ,R,(405) 557-7346,433B,Julie Jackson
54,Cleveland,COCAA,West, Kevin ,R,(405) 557-7343,333,Marlene Burbank-Jones
90,Cleveland,COCAA,Echols, Jon ,R,(405) 557-7354,442,Kaye Beach
91,Cleveland,COCAA,Kannady, Chris ,R,(405) 557-7337,240,Zach Swift
