Senate District,County,agency,Party,First Name,Last Name,Room,Extension,EA
13,Pottawatomie,COCAA,R,Greg,McCortney,528,541,Chelsea Pinney
13,Seminole,COCAA,R,Greg,McCortney,528,541,Chelsea Pinney
15,Cleveland,COCAA,R,Rob,Standridge,418,535,Susan Wallace
16,Cleveland,COCAA,D,Mary,Boren,514,553,Ms. Trena Byas
20,Logan,COCAA,R,Chuck,Hall,411,628,Kala Plagg
21,Payne,COCAA,R,Tom,Dugger,534,572,Deborah Curry
28,Lincoln,COCAA,R,Jason,Smalley,420,547,Cali Tonnu
28,Pottawatomie,COCAA,R,Jason,Smalley,420,547,Cali Tonnu
28,Seminole,COCAA,R,Jason,Smalley,420,547,Cali Tonnu
15,Cleveland,COCAA,R,Rob,Standridge,418,535,Susan Wallace
17,Pottawatomie,COCAA,R,Ron,Sharp,412,539,Cindy Sullivan
16,Cleveland,COCAA,D,Mary,Boren,514,553,Ms. Trena Byas
17,Cleveland,COCAA,R,Ron,Sharp,412,539,Cindy Sullivan
24,Cleveland,COCAA,R,Darrell,Weaver,526,569,Tonya Lewis
28,Pottawatomie,COCAA,R,Jason,Smalley,420,547,Cali Tonnu
43,Cleveland,COCAA,R,Paul,Scott,428,522,Audra Brice
45,Cleveland,COCAA,R,Paul,Rosino,235,618,Debbie Blair
