House District,County,Agency,Last Name,First Name,Party,Phone,Room,LA Name
20,Garvin,Delta,Conley, Sherrie ,R,(405) 557-7308,303B,Latoya Alexander*
20,McClain,Delta,Conley, Sherrie ,R,(405) 557-7308,303B,Latoya Alexander*
22,Garvin,Delta,McCall, Charles ,R,(405) 557-7412,401,Tonya Pogue
42,Garvin,Delta,Roe, Cynthia ,R,(405) 557-7365,338,Saprina Crostwait*
42,McClain,Delta,Roe, Cynthia ,R,(405) 557-7365,338,Saprina Crostwait*
46,McClain,Delta,Rosecrants, Jacob ,D,(405) 557-7329,509,Amari Kimbro
48,Garvin,Delta,Townley, Tammy ,R,(405) 557-7326,303A,Sonya Barker*
50,Stephens,Delta,McEntire, Marcus ,R,(405) 557-7327,204B,Jan Tupps
51,McClain,Delta,Boles, Brad ,R,(405) 557-7405,248B,Debbie Grogis
51,Stephens,Delta,Boles, Brad ,R,(405) 557-7405,248B,Debbie Grogis
65,Stephens,Delta,Hasenbeck, Toni ,R,(405) 557-7305,256,Julie Jackson
