House District,County,Agency,Last Name,First Name,Party,Phone,Room,LA Name
1,Le Flore,KI BOIS,Tadlock, Johnny ,R,(405) 557-7363,409,Leslie Smith-Haddad
2,Sequoyah,KI BOIS,Olsen, Jim ,R,(405) 557-7315,329B,Martha Perry*
3,Le Flore,KI BOIS,Kiger, Lundy ,R,(405) 557-7413,405,Sawyer Campbell*
13,Muskogee,KI BOIS,Frix, Avery ,R,(405) 557-7302,438,Vicki Adams
14,Muskogee,KI BOIS,Sneed, Chris ,R,(405) 557-7310,300C,Carla Ray*
15,Haskell,KI BOIS,Randleman, Randy ,R,(405) 557-7375,302,Jordan Johnston*
15,Le Flore,KI BOIS,Randleman, Randy ,R,(405) 557-7375,302,Jordan Johnston*
15,Muskogee,KI BOIS,Randleman, Randy ,R,(405) 557-7375,302,Jordan Johnston*
15,Sequoyah,KI BOIS,Randleman, Randy ,R,(405) 557-7375,302,Jordan Johnston*
16,Muskogee,KI BOIS,Fetgatter, Scott ,R,(405) 557-7373,248A,Debbie Grogis
17,Latimer,KI BOIS,Grego, Jim ,R,(405) 557-7381,501,Ashley Stuart*
17,Le Flore,KI BOIS,Grego, Jim ,R,(405) 557-7381,501,Ashley Stuart*
17,Pittsburg,KI BOIS,Grego, Jim ,R,(405) 557-7381,501,Ashley Stuart*
18,Pittsburg,KI BOIS,Smith, David ,R,(405) 557-7376,250A,Lacy Skrapka*
