Senate District,County,agency,Party,First Name,Last Name,Room,Extension,EA
4,Le Flore,KI BOIS,R,Mark,Allen,234,576,Grace McMillan
4,Sequoyah,KI BOIS,R,Mark,Allen,234,576,Grace McMillan
5,Le Flore,KI BOIS,R,Joseph,Silk,416,614,NA
7,Haskell,KI BOIS,R,Larry,Boggs,530,604,Anita Bell
7,Latimer,KI BOIS,R,Larry,Boggs,530,604,Anita Bell
7,Pittsburg,KI BOIS,R,Larry,Boggs,530,604,Anita Bell
8,Muskogee,KI BOIS,R,Roger,Thompson,537,588,Susan Cochran
9,Muskogee,KI BOIS,R,Dewayne,Pemberton,429,533,Peggy White
18,Muskogee,KI BOIS,R,Kim,David,421,590,Gayla Guinn
4,Le Flore,KI BOIS,R,Mark,Allen,234,576,Grace McMillan
5,Le Flore,KI BOIS,R,Joseph,Silk,416,614,NA
