,House District,County,agency,Member,Party,Phone,Room,LA Name
0,1,Le Flore,KI BOIS,"Tadlock, Johnny ",R,(405) 557-7363,409,Leslie Smith-Haddad
1,1,McCurtain,Little Dixie,"Tadlock, Johnny ",R,(405) 557-7363,409,Leslie Smith-Haddad
2,2,Sequoyah,KI BOIS,"Olsen, Jim ",R,(405) 557-7315,329B,Martha Perry*
3,3,Le Flore,KI BOIS,"Kiger, Lundy ",R,(405) 557-7413,405,Sawyer Campbell*
4,4,Cherokee,NEOCAA,"Meredith, Matt ",D,(405) 557-7408,541,Connie Riley
5,5,Delaware,NEOCAA,"West, Josh ",R,(405) 557-7415,242A,Tanner Davis
6,5,Mayes,CARD,"West, Josh ",R,(405) 557-7415,242A,Tanner Davis
7,6,Craig ,NEOCAA,"Cornwell, Rusty ",R,(405) 557-7319,334,Melanie Morriss*
8,6,Mayes,CARD,"Cornwell, Rusty ",R,(405) 557-7319,334,Melanie Morriss*
9,6,Rogers,CARD,"Cornwell, Rusty ",R,(405) 557-7319,334,Melanie Morriss*
10,7,Delaware,NEOCAA,"Loring, Ben ",D,(405) 557-7399,503,Louise Aldridge
11,7,Ottawa,NEOCAA,"Loring, Ben ",D,(405) 557-7399,503,Louise Aldridge
12,8,Mayes,CARD,"Gann, Tom ",R,(405) 557-7364,434,Carla Ray
13,8,Rogers,CARD,"Gann, Tom ",R,(405) 557-7364,434,Carla Ray
14,8,Wagoner,CARD,"Gann, Tom ",R,(405) 557-7364,434,Carla Ray
15,9,Rogers,CARD,"Lepak, Mark ",R,(405) 557-7380,441,Charlotte Maughan
16,10,Nowata,CARD,"Strom, Judd ",R,(405) 557-7402,435,Natasha Holliday*
17,10,Osage,UCAP,"Strom, Judd ",R,(405) 557-7402,435,Natasha Holliday*
18,10,Washington,CARD,"Strom, Judd ",R,(405) 557-7402,435,Natasha Holliday*
19,11,Rogers,CARD,"Fincher, Derrel ",R,(405) 557-7358,329,Sawyer Campbell*
20,11,Tulsa,CAP Tulsa,"Fincher, Derrel ",R,(405) 557-7358,329,Sawyer Campbell*
21,11,Washington,CARD,"Fincher, Derrel ",R,(405) 557-7358,329,Sawyer Campbell*
