House District,County,Agency,Last Name,First Name,Party,Phone,Room,LA Name
41,Kingfisher,Opportunities,Crosswhite Hader, Denise ,R,(405) 557-7321,337,Marlene Burbank-Jones*
57,Blaine,Opportunities,Wright, Harold ,R,(405) 557-7325,411,Dee Lemon
57,Custer,Opportunities,Wright, Harold ,R,(405) 557-7325,411,Dee Lemon
58,Alfalfa ,Opportunities,Newton, Carl ,R,(405) 557-7339,332,Pat Timberlake
58,Major,Opportunities,Newton, Carl ,R,(405) 557-7339,332,Pat Timberlake
58,Woods,Opportunities,Newton, Carl ,R,(405) 557-7339,332,Pat Timberlake
58,Woodward,Opportunities,Newton, Carl ,R,(405) 557-7339,332,Pat Timberlake
59,Blaine,Opportunities,Sanders, Mike ,R,(405) 557-7407,205,Natasha Holliday
59,Dewey,Opportunities,Sanders, Mike ,R,(405) 557-7407,205,Natasha Holliday
59,Kingfisher,Opportunities,Sanders, Mike ,R,(405) 557-7407,205,Natasha Holliday
59,Woodward,Opportunities,Sanders, Mike ,R,(405) 557-7407,205,Natasha Holliday
61,Beaver,Opportunities,Patzkowsky, Kenton ,R,(405) 557-7384,500A,Elizabeth Smith*
61,Cimarron,Opportunities,Patzkowsky, Kenton ,R,(405) 557-7384,500A,Elizabeth Smith*
61,Ellis,Opportunities,Patzkowsky, Kenton ,R,(405) 557-7384,500A,Elizabeth Smith*
61,Harper,Opportunities,Patzkowsky, Kenton ,R,(405) 557-7384,500A,Elizabeth Smith*
61,Texas,Opportunities,Patzkowsky, Kenton ,R,(405) 557-7384,500A,Elizabeth Smith*
61,Woodward,Opportunities,Patzkowsky, Kenton ,R,(405) 557-7384,500A,Elizabeth Smith*
