Senate District,County,agency,Party,First Name,Last Name,Room,Extension,EA
19,Alfalfa ,Opportunities,R,Roland,Pederson,413,630,Angie Robinson
20,Kingfisher,Opportunities,R,Chuck,Hall,411,628,Kala Plagg
23,Kingfisher,Opportunities,R,Lonnie,Paxton,238,537,Roxanne Blystone
26,Blaine,Opportunities,R,Darcy,Jech,417,545,Jamie Hudson
26,Custer,Opportunities,R,Darcy,Jech,417,545,Jamie Hudson
27,Beaver,Opportunities,R,Casey,Murdock,430,626,Lindsey Hutcheson
27,Cimarron,Opportunities,R,Casey,Murdock,430,626,Lindsey Hutcheson
27,Dewey,Opportunities,R,Casey,Murdock,430,626,Lindsey Hutcheson
27,Ellis,Opportunities,R,Casey,Murdock,430,626,Lindsey Hutcheson
27,Harper,Opportunities,R,Casey,Murdock,430,626,Lindsey Hutcheson
27,Major,Opportunities,R,Casey,Murdock,430,626,Lindsey Hutcheson
27,Texas,Opportunities,R,Casey,Murdock,430,626,Lindsey Hutcheson
27,Woods,Opportunities,R,Casey,Murdock,430,626,Lindsey Hutcheson
27,Woodward,Opportunities,R,Casey,Murdock,430,626,Lindsey Hutcheson
38,Custer,Opportunities,R,Brent,Howard,536,612,Pam Nordstrom
20,Kingfisher,Opportunities,R,Chuck,Hall,411,628,Kala Plagg
26,Kingfisher,Opportunities,R,Darcy,Jech,417,545,Jamie Hudson
