House District,County,Agency,Last Name,First Name,Party,Phone,Room,LA Name
10,Osage,UCAP,Strom, Judd ,R,(405) 557-7402,435,Natasha Holliday*
29,Creek,UCAP,Hilbert, Kyle ,R,(405) 557-7353,244B,Sonya Barker
30,Creek,UCAP,Lawson, Mark ,R,(405) 557-7414,244A,Sonya Barker
35,Creek,UCAP,Burns, Ty ,R,(405) 557-7344,330,Lacy Skrapka*
35,Noble ,UCAP,Burns, Ty ,R,(405) 557-7344,330,Lacy Skrapka*
35,Osage,UCAP,Burns, Ty ,R,(405) 557-7344,330,Lacy Skrapka*
35,Pawnee,UCAP,Burns, Ty ,R,(405) 557-7344,330,Lacy Skrapka*
36,Osage,UCAP,Roberts, Sean ,R,(405) 557-7322,250,Lacy Skrapka
37,Kay,UCAP,Luttrell, Ken ,R,(405) 557-7355,410,Vicki Adams*
37,Osage,UCAP,Luttrell, Ken ,R,(405) 557-7355,410,Vicki Adams*
38,Kay,UCAP,Pfeiffer, John ,R,(405) 557-7332,439,Ashley Stuart
38,Noble ,UCAP,Pfeiffer, John ,R,(405) 557-7332,439,Ashley Stuart
66,Osage,UCAP,Nollan, Jadine ,R,(405) 557-7390,407,Sandy Cunningham
73,Osage,UCAP,Goodwin, Regina ,D,(405) 557-7406,508,Amari Kimbro
