,Senate District,County,agency,Party,First Name,Last Name,Room,Extension,EA
0,1,Craig ,NEOCAA,R,Micheal,Bergstrom,426,561,Holly Randall
1,1,Delaware,NEOCAA,R,Micheal,Bergstrom,426,561,Holly Randall
2,1,Mayes,CARD,R,Micheal,Bergstrom,426,561,Holly Randall
3,1,Ottawa,NEOCAA,R,Micheal,Bergstrom,426,561,Holly Randall
4,2,Mayes,CARD,R,Marty,Quinn,419,555,Donna Garlick
5,2,Rogers,CARD,R,Marty,Quinn,419,555,Donna Garlick
6,3,Adair,NEOCAA,R,Wayne,Shaw,233,574,Bianca Moore
7,3,Cherokee,NEOCAA,R,Wayne,Shaw,233,574,Bianca Moore
8,3,Delaware,NEOCAA,R,Wayne,Shaw,233,574,Bianca Moore
9,3,Mayes,CARD,R,Wayne,Shaw,233,574,Bianca Moore
10,10,Osage,UCAP,R,Bill,Coleman,432,581,Cindy Stevens
12,3,Rogers,CARD,R,Wayne,Shaw,233,574,Bianca Moore
13,4,Le Flore,KI BOIS,R,Mark,Allen,234,576,Grace McMillan
14,4,Sequoyah,KI BOIS,R,Mark,Allen,234,576,Grace McMillan
15,5,Choctaw,Little Dixie,R,Joseph,Silk,416,614,NA
16,5,Le Flore,KI BOIS,R,Joseph,Silk,416,614,NA
17,5,McCurtain,Little Dixie,R,Joseph,Silk,416,614,NA
18,5,Pushmataha,Little Dixie,R,Joseph,Silk,416,614,NA
19,6,Bryan,Big 5,R,David,Bullard,533,586,Anita Clayton
20,6,Coal,Big 5,R,David,Bullard,533,586,Anita Clayton
21,6,Johnston,INCA,R,David,Bullard,533,586,Anita Clayton
22,6,Marshall,INCA,R,David,Bullard,533,586,Anita Clayton
23,7,Haskell,KI BOIS,R,Larry,Boggs,530,604,Anita Bell
24,7,Hughes,DFCAF,R,Larry,Boggs,530,604,Anita Bell
25,7,Latimer,KI BOIS,R,Larry,Boggs,530,604,Anita Bell
26,7,Okfuskee,DFCAF,R,Larry,Boggs,530,604,Anita Bell
27,7,Pittsburg,KI BOIS,R,Larry,Boggs,530,604,Anita Bell
28,8,McIntosh,DFCAF,R,Roger,Thompson,537,588,Susan Cochran
29,8,Muskogee,KI BOIS,R,Roger,Thompson,537,588,Susan Cochran
30,8,Okfuskee,DFCAF,R,Roger,Thompson,537,588,Susan Cochran
31,8,Okmulgee,DFCAF,R,Roger,Thompson,537,588,Susan Cochran
32,9,Muskogee,KI BOIS,R,Dewayne,Pemberton,429,533,Peggy White
33,10,Kay,UCAP,R,Bill,Coleman,432,581,Cindy Stevens
34,12,Creek,UCAP,R,James,Leewright,425,528,Cheryl Boothe
35,13,Garvin,Delta,R,Greg,McCortney,528,541,Chelsea Pinney
36,13,Hughes,DFCAF,R,Greg,McCortney,528,541,Chelsea Pinney
37,13,Pontotoc,Big 5,R,Greg,McCortney,528,541,Chelsea Pinney
38,13,Pottawatomie,COCAA,R,Greg,McCortney,528,541,Chelsea Pinney
